No.,Chinese (Simplified),Type,Gender,Note,Reference,EN,EN Optional,EN Status,JA,读音,JA Status,KO,KO Optional,KO Status,DE,FR,ES-419,RU,PT-BR,TH,ID,IT,Key_Index
13,委托,系统/玩法 System/Gameplay,/,游戏中的一种主要玩法，玩家接取委托任务获得奖励,,Commission,,Confirmed,依頼,,Confirmed,의뢰,,Confirmed,Auftrag,Commission,Encargo,Поручение,Atribuição,คำขอ,Komisi,,
14,塔吉多,角色名称 Character Name,Male,"歧骸，自我性别认知是男性。
善良单纯，粗神经笨蛋，好奇心强
性格善良单纯，对一切充满好奇，平日里跟玩家插科打诨，有时候喜欢吹牛，偶尔会哭鼻子，紧张的时候会有点口吃。自称能屈能伸识时务，在发明以外的事情上缺乏生活常识。处在伊波恩食物链的底端。对浔早雾娜娜莉难以招架，很喜欢主角。
他的台词在主角以外的人听起来都只是无意义的Taygedo~Taygedo",,Taygedo,,Confirmed,タギド,たぎど,Confirmed,타기도,,Confirmed,Taygedo,Taygedo,Taygedo,Тайгедо,Taygedo,ทากิโด,Taygedo,,
15,鬼郎丸,角色名称 Character Name,Gender-neutral,早雾的武器，一种贪吃的生物,,Kiroumaru,,Confirmed,鬼郎丸,きろうまる,Confirmed,키로마루,,Confirmed,Kiroumaru,Kiroumaru,Kiroumaru,Кирумару,Kiroumaru,คิโรมารุ,Kiroumaru,,
16,薰衣草小姐,称呼 Title/Nickname,/,薄荷对奈丽的称呼，因为闻到奈丽是薰衣草味的,,Lavender,,Confirmed,ラベンダーさん,,Confirmed,미스 라벤더,,Confirmed,Lavendi,Lavande,Lavanda,Лаванда,Lavanda,คุณพี่ลาเวนเดอร์,Lavender,,
17,奈丽,角色名称 Character Name,Female,"局长艾尔菲德的秘书
非常有分寸且有边界感的职场女性，将各方面的工作都能处理得很好，内心非常尊敬局长艾尔法德，但是将工作和私人感情分得很清。",,Nelly,,Confirmed,ネリー,,Confirmed,넬리,,Confirmed,Nelly,Nelly,Nelly,Нелли,Nelly,เนลลี,Nelly,,
18,新收容安全条例,世界观 Worldbuilding,/,是异象管理局收容时遵守的一种法规,,New Containment Safety Protocol,,Confirmed,新収容安全条例,,Confirmed,신규 수용 안전 조례,,Confirmed,Neues Sicherheitsprotokoll für Eindämmung,Nouveau protocole de sécurité du confinement,Nuevo Protocolo de Seguridad de Contención,Новый протокол защиты сдерживания,Novo Protocolo de Segurança de Contenção,มาตรการความปลอดภัยการเก็บกักฉบับใหม่,Protokol Keamanan Penahanan Baru,,
19,临时收容层,地点/场所 Location/Place,/,表示这一层楼都是临时用来放抓到的异象的,,Temporary Containment,,Confirmed,臨時収容層,りんじしゅうようそう,Confirmed,임시 수용층,,Confirmed,Temporäre Eindämmung,Confinement temporaire,Contención Temporal,Временное сдерживание,Contenção Temporária,ชั้นเก็บกักชั่วคราว,Penahanan Sementara,,
20,异象管理局,组织 Organization,/,游戏里的核心公权力机构，主要负责异象的收容、泯除等工作,,Bureau of Anomaly Control,,Confirmed,異象管理局,アノマリーかんりきょく,Confirmed,이상 관리국,,Confirmed,Büro für Anomaliekontrolle,Bureau de contrôle des anomalies,Agencia de Control de Anomalías,Бюро по борьбе с аномалиями,Agência de Controle de Anomalias,กรมควบคุมอะนอมาลี,Badan Kontrol Anomali,,
21,收容组,组织 Organization,/,"收容行动组，Containment Strike Units简称CSU、收容组
负责一般异象的收容、泯除工作",,Containment Units,,Confirmed,収容部,,Confirmed,수용팀,,Confirmed,Eindämmungseinheiten,Unités de confinement,Unidad de Contención,Спецотряд по сдерживанию,Grupos de Contenção,หน่วยเก็บกัก,Unit Penahanan,,
22,禁制机动队,组织 Organization,/,"ETD全称是禁制机动队
Enforcement Tactical Division，禁制机动队，最受局内其他成员忌惮的部门，全员强力异能者的王牌部门，意义为绝对的管制与镇压，拥有诸多行动特权，往往在重大异象灾害、高级别异象出现又或追击穷凶极恶的异能者罪犯的时候出动。",,ETD,,Confirmed,禁制機動隊,イーティーディー,Confirmed,E.T.D,단속 기동대,Confirmed,TVA,DTE,DTE,ТОИ,Divisão Tática de Execução,หน่วยยุทธวิธีการบังคับใช้,Divisi Taktis Penindakan,,
23,白藏,角色名称 Character Name,Male,"抖S郁娇、轻浮散漫、厌恶权威
看似是个有些轻浮的开朗青年，平时大大咧咧，脸上总是挂着笑容。有点神经质，且经常戏弄别人，尤其是自己的队员们，因此是局内最受嫌弃的领导之一。嫌恶高层迂腐且缺乏良心，会因此出言讽刺或者直接挑衅，另外有极其强烈的自毁倾向。

读音：baicang",,Baicang,,Confirmed,白蔵,ばいざん,Confirmed,백장,,Confirmed,Baicang,Baicang,Baicang,Байканг,Baicang,ไป๋ฉาง,Baicang,,
24,翳,角色名称 Character Name,Male,"能力者，禁制机动队即ETD四队成员
神情淡漠，其实是典型外冷内热，内心很细腻且注重感情。重度洁癖。性格沉着冷静且智勇双全，遇到突发事件时可以立即做出最适当的应对处理能力。责任感强烈，外表上看起来孤傲冷峻，实际相当关心同伴，绝不轻饶任何企图伤害他们的对象。平常是个精准安排事务且重视形象的完美主义者，具有武道家的风范，不喜欢外人插手他和对手之间的决斗。",,Skia,,Confirmed,翳,えい,Confirmed,스키아,,Confirmed,Skia,Skia,Skia,Ския,Skia,สเกีย,Skia,,
25,法帝娅,角色名称 Character Name,Female,"肆意大胆、打破禁忌
性感美艳，风情万种，言行举止十分大胆，腹黑，有时候会提一些难为人的问题，周围的人要是答不上她的问题或者回答错误，就会被她进一步挑逗为难，她也以看人为自己痴迷或者因自己的行为手忙脚乱为乐；


中文源自阿拉伯语，带点异域风情",,Fadia,,Confirmed,ファルディーヤ,ふぁるでぃーや,Confirmed,파디아,,Confirmed,Fadia,Fadia,Fadia,Фадия,Fadia,ฟาเดีย,Fadia,,
26,可可,称呼 Title/Nickname,Male or Female,薄荷对主角的称呼；薄荷说每个人的香味都是不一样的，她喜欢根据自己闻到的味道来称呼大家。主角对她来说是可可味道的,,Coco,,Confirmed,ココちゃん（男女共通）,（男女共通）,Confirmed,코코,,Confirmed,Coco,Choco,Cacao,Какао,Cacau,โกโก้,Coco,,
27,生物异象,世界观 Worldbuilding,/,异象的五种属性之一，生物异象即歧骸,,Bio Anomaly,,Confirmed,生物異象,バイオアノマリー,Confirmed,생물 이상,,Confirmed,Bio-Anomalie,Anomalie biologique,Bio anomalía,Биоаномалия,Bioanomalia,อะนอมาลีชีวภาพ,Anomali Biologis,,
28,歧骸,世界观 Worldbuilding,/,生物异象的俗称,,oddity,,Confirmed,異骸,いくろ,Confirmed,오디티,,Confirmed,Kuriosum,Curiosité,Rareza,Странность,peculiaridade,อ็อดดิตี,keganjilan,,
29,收容体,世界观 Worldbuilding,/,收容体是收容异象的东西,,Container,,Confirmed,収容体,,Confirmed,수용체,,Confirmed,Container,Conteneur,Contenedor,Контейнер,Contêiner,คอนเทนเนอร์,Wadah,,
30,异象猎人,世界观 Worldbuilding,/,不隶属于公权力但是也做着公权力默认的异象收容与泯除的工作，收取政府或者民间委托者钱财的个人或团体。玩家所在的「伊波恩」古董店就是这种性质。,,Anomaly Hunter,,Confirmed,異象ハンター,アノマリーハンター,Confirmed,이상 헌터,,Confirmed,Anomalie-Jäger,Chasseur d’anomalie/Chasseuse d’anomalie,Cazanomalías,Охотник за аномалиями/Охотница за аномалиями,Caçador de Anomalias,นักล่าอะนอมาลี,Pemburu Anomali,,
31,特殊收容体,世界观 Worldbuilding,/,,,Special Container,,Confirmed,特別收容体,,Confirmed,특수 수용체,,Confirmed,Spezialcontainer,Conteneur spécial,Contenedor especial,Специальный контейнер,Contêiner Especial,คอนเทนเนอร์พิเศษ,Wadah Spesial,,
32,菲林轨迹,地点/场所 Location/Place,/,照相馆的名字,,Film Orbit Studio,,Confirmed,オービット写真,,Confirmed,오르빗 필름 스튜디오,,Confirmed,Fotostudio Orbit,Studio Film Orbit,Estudio Film Orbit,Студия «Фильм Орбит»,Estúdio Fotográfico Órbita,สตูดิโอฟิล์มออร์บิท,Film Orbit Studio,,
33,柯林斯家族,世界观 Worldbuilding,/,类似意大利黑手党/家庭教师里的彭格列家族,,The Coluccis,,Confirmed,コリンスファミリー,,Confirmed,콜린스 가문,,Confirmed,Coluccis,Les Colucci,Los Colucci,Колуччи,Os Coluccis,คอลุคชีแฟมิลี,Coluccis,,
34,易聘屋,地点/场所 Location/Place,/,帮人找工作的店,,EZ-Hire,,Confirmed,人材派遣屋,,Confirmed,고용 센터,,Confirmed,EZ-Jobs,Travail de rêve,Empleo-EZ,EZ-Рекрут,EZ-Hire,ร้านสะดวกจ้าง EZ-Hire,EZ-Hire,,
35,奥利哈刚,地点/场所 Location/Place,/,一家重工企业,,Orichalcos,,Confirmed,オーリハーゲン,,Confirmed,오리컬코스,,Revised,Orichalcos,Orichalcos,Orichalcos,Орихалк,Orichalcos,โอริคัลคอส,Orichalcos,,
36,方斯,世界观 Worldbuilding,/,货币单位，外观是有泉水图案的科技感信用卡，作为货币象征经济和文化的源头和起点。,,Fons,,Confirmed,ファンス,,Confirmed,폰즈,,Confirmed,Fons,Fons,Fons,Фонс,Fons,ฟอนส์,Fons,,
37,委托报告,系统/玩法 System/Gameplay,/,,,Commission Report,,Confirmed,依頼報告,,Confirmed,의뢰 보고,,Confirmed,Auftragsbericht,Rapport de la commission,Informe de encargo,Отчёт о поручении,Relatório de Atribuição,รายงานคำขอ,Laporan Komisi,,
38,阿德勒,角色名称 Character Name,Male,"成熟稳健、清醒自持、周全可靠、谦逊禁欲 
博学多才，除了异能外还拥有许多自称“只是一些不值一提的爱好罢了”的惊人才能，被早雾称作伊波恩唯一靠谱的成年人，如果说浔代表伊波恩自由肆意的一面，那么阿德勒先生则代表伊波恩的“秩序”，做事有条不紊且尽善尽美。",,Adler,,Confirmed,アドレー,,Confirmed,아들러,,Confirmed,Adler,Adler,Adler,Адлер,Adler,แอดเลอร์,Adler,,
39,埃德嘉,角色名称 Character Name,Male,有些自闭的天才小男孩，生活上给人以迟钝、温吞、笨拙感，缺乏生活常识，不知道怎么更好地与周围的人沟通，意外地能被早雾洞悉一些想法，所以早雾有时候充当着他与其他人沟通的中间角色。遇到自己感兴趣的问题会不知不觉沉浸在自己世界中。在案件分析上显露出超群的智力、记忆与惊人的洞察力，显露出锐利、直接的一面。日常生活中总是让着娜娜莉和早雾。,,Edgar,,Confirmed,エドガー,,Confirmed,에드가,,Confirmed,Edgar,Edgar,Edgar,Эдгар,Edgar,เอ็ดการ์,Edgar,,
40,斯特利速递,地点/场所 Location/Place,/,表面上是快递，背地里是一家情报机构,,Sterry Express,,Confirmed,ステーリー急便,ステーリーきゅうびん,Confirmed,스테리 익스프레스,,Confirmed,Sterry-Express,Sterry Express,Sterry Express,«Стерри Экспресс»,Sterry Express,สเตอร์รีเอ็กซ์เพรส,Sterry Ekspres,,
41,伊波恩,地点/场所 Location/Place,/,异象猎人组织，主角落脚的地方,,Eibon,,Confirmed,エイボン,,Confirmed,에이본,,Confirmed,Eibon,Eibon,Eibon,Эйбон,Eibon,เอบอน,Eibon,,
42,情报,其他 Other,/,消息,,Intel,,Confirmed,情報,,Confirmed,정보,,Confirmed,Info,Infos,Información,Разведданные,Informações,ข่าวกรอง,Intel,,
43,鉴定师,"世界观 Worldbuilding, 战斗 Combat",/,"①主角的职业
②主角被动技能1。坼绽强化：每朵「创生花」会分裂成2朵一起飞向射程内的目标并爆炸。",,Appraiser,,Confirmed,鑑定士,かんていし,Confirmed,감정사,,Confirmed,Gutachter/in,Spécialiste,Perito(a),male: Оценщик female: Оценщица,Avaliador,นักประเมิน,Penaksir,,
44,无界奇谭,物品/道具 Items/Props,/,"漫画书
是恐怖宠物店那样诡谲风格的漫画",,Tales of Nil,,Confirmed,無界奇談,むかいきだん,Confirmed,무한 기담,,Confirmed,Geschichten des Nichts,Contes du Néant,Cuentos de Nil,«Сказки о ничто»,Contos de Nil,ตำนานไร้ขอบเขต,Kisah Nil,,
45,店长,称呼 Title/Nickname,/,常用称呼,,Owner,,Confirmed,店長,,Confirmed,점장,,Confirmed,Eigentümer,Propriétaire,Titular,Владелец,Gerente,เทนโช,Pemilik,,
46,简森,角色名称 Character Name,Male,自幼的训练，让他的性格格外稳重，在工作之外的事情上，是平和温厚的长辈，对于工作则格外严肃认真。由于经历过多，对“环”组织的想法也开始变得动摇。,,Jenson,,Confirmed,ジェンソン,じぇんそん,Confirmed,젠슨,,Confirmed,Jenson,Jenson,Jenson,Дженсон,Jenson,เจนสัน,Jenson,,
47,卡佩大酒店,地点/场所 Location/Place,/,全称是The Kapé Grand Hotel，平时对话中称为The Kapé,,The Kapé,,Revised,カーペホテル,,Confirmed,카르페 호텔,,Confirmed,Das Kapé,Le Kapé,El Kapé,«Капе»,The Kapé,โรงแรมคาเป้,The Kapé,,
48,惠比寿拍卖行,地点/场所 Location/Place,/,,,Ebisu Auction House,,Confirmed,エビスーズ,,Confirmed,에비스 경매장,,Confirmed,Auktionshaus Ebisu,Maison de vente aux enchères d’Ebisu,Casa de Subastas Ebisu,Аукционный дом «Эбису»,Casa de Leilões Ebisu,โรงประมูลเอบิสึ,Rumah Lelang Ebisu,,
49,斯特利,地点/场所 Location/Place,/,斯特利速递的简称,,Sterry,,Confirmed,ステーリー,,Confirmed,스테리,,Confirmed,Sterry,Sterry,Sterry,Стерри,Sterry,สเตอร์รี,Sterry,,
50,邀请函,物品/道具 Items/Props,/,主线剧情道具,,Invitation,,Confirmed,招待状,,Confirmed,초대장,,Confirmed,Einladung,Invitation,Invitación,Приглашение,Convite,บัตรเชิญ,Undangan,,
51,浔,角色名称 Character Name,Female,"全名：月退浔 Tsukinoki Hotori
能力者，伊波恩的店长，因为经常收到假古董，除古董买卖外，接受各路异常事件调查委托以维持周转。曾是「环」组织表环异象管理局ETD总队长，离开之后与「环」的高层也有千丝万缕的联系。某种程度上来讲曾经是表环最接近「环」的信条的人之一。后面开始试图终结掉空心人操纵下的循环轮转。浔并不是所谓月退家唯一幸存的女儿，而是类似于月退家的主君，整个月退家都是为了守护浔在时间中的轮回而存在。浔“时间魔女”这个称号其实是其误传，完整来说浔应该叫“被时间否定的魔女”。浔受命于里环，也在一次次循环中逐步反抗里环。",,Hotori,,Confirmed,潯,ほとり,Confirmed,호토리,,Confirmed,Hotori,Hotori,Hotori,Хотори,Hotori,โฮโตริ,Hotori,,
52,南塔妮,异象名称 Anomaly Name,Gender-neutral,"是异象，不是人，参考是泰语
外形：一个灵体 
运转规则：如果有人没有遵守「惠比寿」制定的规则——经过拍卖落锤达成交易才能带走异象，整个酒店都会变成迷宫，只有收回被偷走的异象，迷宫才会解除。TA是常驻在拍卖会，守护拍卖会收藏的异象。迷宫启动后，必须跟随南塔妮一个一个的收容异象，迷宫才会解除。 
惹生气的下场：对于哈尼娅和伊里卡来说是不可知的，如果没有南塔妮的带路，他们可能会一直在迷宫打转。",,Nantani,,Revised,ナンタニー,,Confirmed,난타니,,Confirmed,Nantanì,Nantanì,Nantanì,Нантани,Nantanì,นันทนี,Nantanì,,
53,啄木鸟,称呼 Title/Nickname,Female,伊里卡对哈尼娅的称呼,,Pecky,,Confirmed,バカツキ,,Confirmed,딱따구리,,Confirmed,Bussel,Picora,Pecky,Дятел,Pecky,นกหัวขวาน,Pecky,,
54,呆头鸟,称呼 Title/Nickname,Male,哈尼娅对伊里卡的称呼,,Silly,,Confirmed,アホドリ,,Confirmed,바보새,,Confirmed,Dussel,Bêta,Tontín,Глупыш,Bobinho,นกเซ่อซ่า,Silly,,
55,特工Z世代,物品/道具 Items/Props,/,漫画,,Gen Z,,Confirmed,エージェントＺ世代,,Confirmed,에이전트 젠Z,,Confirmed,Gen Z,Gen Z,Gen. Z,Ген Зет,Geração Z,เอเจนต์ Gen Z,Gen Z,,
56,动感小耳朵,物品/道具 Items/Props,/,哈尼娅的物品，类似对讲机,,E.A.R,,Confirmed,E.A.R,EAR,Confirmed,E.A.R,,Confirmed,O.H.R.,O.U.Ï.E.,O.I.R,У.Х.О,N.A E.S.C.U.T.A,E.A.R,E.A.R,,
57,哈尼娅,角色名称 Character Name,Female,同理心很强，性格中二，头脑简单，阳光单纯，好胜心强，能及时察觉到队友和身边人的情绪，有时也会充当哈索尔的心理辅导师，在九原不在时，也是陷入狂暴状态下，哈索尔的唯一“稳定器”。,,Haniel,,Confirmed,ハニア,はにあ,Confirmed,하니엘,,Confirmed,Haniel,Haniel,Haniel,Ханиэль,Haniel,ฮาเนียล,Haniel,,
58,伊里卡,角色名称 Character Name,Male,在斯特利工作时充满激情，活力四射，总是冲当先锋，是快递站最佳快递员，客户五星好评数量最多，笑起来温柔阳光，偶尔会吐槽。,,Illica,,Confirmed,イリカ,,Confirmed,일리카,,Confirmed,Illica,Illica,Illica,Иллика,Illica,อิลลิกา,Illica,,
59,侦探问道,物品/道具 Items/Props,/,侦探问道是漫画，问道是二次元的表述方式，类似「证道」,,Case in Point,,Confirmed,探偵の証明,,Confirmed,탐정의 길,,Confirmed,Heiße Fälle,Case in Point,Por ejemplo,Наглядный пример,O Detetive Perguntou,นักสืบคดีเด็ดดวง,Contoh Kasus,,
60,十分先生,角色名称 Character Name,Male,漫画角色，侦探问道中的角色,,Mr. Ten,,Confirmed,十点さん,,Confirmed,미스터 텐,,Confirmed,Mr. Ten,M. Ten,Sr. Ten,Мистер Тэн,Sr. Dez,คุณเต็มสิบ,Tuan Ten,,
61,九原,角色名称 Character Name,Female,"八面玲珑、成熟稳重、幽默风趣
早年在情报机构工作，见证太多人间冷暖，习惯性带上性格面具，属于见人说人话，见鬼说鬼话，平时在快递站工作，主管快递营业流水，虽然面带笑容，但总是不怒自威，很少生气，有强迫症，追求“干净、整洁和高效”。",,Jiuyuan,,Confirmed,九原,じょえん,Confirmed,구원,,Confirmed,Jiuyuan,Jiuyuan,Jiuyuan,Цзююань,Jiuyuan,จิ่วหยวน,Jiuyuan,,
62,撬撬,物品/道具 Items/Props,/,物品，开锁道具,,Picky,,Confirmed,ピッキー,,Confirmed,락픽,,TBC,Picki,Crochet,Desbloqueador,Отмычка,Gazuazinha,ตัวสะเดาะกลอน,Picky,,
63,解离,世界观 Worldbuilding,/,已经收容的异象跑了,,Breach,,Confirmed,乖離,カイリ,Confirmed,탈주,,Confirmed,Durchbruch,Brèche,Brecha,Брешь,Violação,หลบหนี,Lolos,,
64,薄荷,角色名称 Character Name,Female,"热情开朗、好奇心强、直球
个性活泼开朗，热情大方，富有人情味，对一切未知都充满好奇，语言习惯坦诚而直接，喜欢和不喜欢都会明显地表现出来。在某些方面意想不到地迟钝，一紧张就会进入语无伦次的状态。",,Mint,,Confirmed,ミント,みんと,Confirmed,민트,,Confirmed,Mint,Menthe,Mint,Минт,Mint,มินท์,Mint,,
65,娜娜莉,角色名称 Character Name,Female,性格爽朗、举止豪放、大大咧咧的少女，想要成为很酷飒的黑道头目往往做出令人啼笑皆非的举动。热血笨蛋。十分好胜，正义感强，身体强悍头脑简单，行为举止常常很冒失，闯了祸之后会很不好意思但又很要面子。,,Nanally,,Confirmed,ナナリ,ななり,Confirmed,나나리,,Confirmed,Nanally,Nanally,Nanally,Наналли,Nanally,นานัลลี,Nanally,,
66,维修师,世界观 Worldbuilding,/,职业,,Restorer,,Confirmed,整備士,,Confirmed,정비사,,Confirmed,Restaurator,Restaurateur,Restaurador,Восстановитель,Restaurador,ช่างซ่อม,Pemulih,,
67,异象管理局安全手册（最新版）,世界观 Worldbuilding,/,法规,,BAC Manual (Latest Edition),,Confirmed,異象管理局安全マニュアル（最新修訂版）,,Confirmed,이상 관리국 안전 매뉴얼(최신판),,Confirmed,BAK-Handbuch (Neueste Ausgabe),Manuel du BCA (dernière édition),Manual de ACA (Última edición),Руководство ББА (последнее издание),Manual da ACA (Última Edição),คู่มือความปลอดภัย BAC (ฉบับล่าสุด),Buku Panduan BKA (Edisi Terbaru),,
68,莱拉,角色名称 Character Name,Female,「白鲸书店」店员，性别女,,Leila,,Confirmed,ライラ,,Confirmed,라일라,,Confirmed,Leila,Leila,Leila,Лейла,Leila,เลย์ลา,Leila,,
69,安魂曲,角色名称 Character Name,Female,"天然、迟钝温吞
性格天然，语言组织能力很差，看起来傻乎乎的且有点迟钝，缺乏常识，生活自理能力很差，经常出现走路碰到玻璃门、被自己的鞋带绊倒等小问题，有着令周围的人不知不觉的就照顾她的天赋，应变能力为零。缺乏干劲，对于出任务完全提不起兴趣，偷懒放水的时候经常被队友抓个正着。被队友吐槽后本着尽快结束尽快休息的原则，下手总是会突然变重，有时候会影响到市民的正常生活，因此是异象管理局接到投诉最多的成员之一。不擅长与人争执，当周围人关系紧张，虽然想要靠自己来让气氛缓和下来，但因为不擅长观察他人的心情，基本上难以收到好的效果。",,Lacrimosa,,Confirmed,レクイエム,れくいえむ,Confirmed,라크리모사,,Confirmed,Lacrimosa,Lacrimosa,Lacrimosa,Лакримоза,Lacrimosa,ลาคริโมซา,Lacrimosa,,
70,哈索尔,角色名称 Character Name,Female,"原性格（内向、懦弱）被逐步吞噬，向着没有感情的杀戮机器进化中。
幼年在孤儿院长大，因为性格内向，总是被欺负，孤儿院被毁后，九原给了她新的希望，不想撞破快递站秘密，在面临绝望和死亡后，性格也发生了一定的变化，逐渐变得清冷，随着异能代价提升，最后可能会沦为杀戮机器。",,Hathor,,Confirmed,ハソール,はそーる,Confirmed,하토르,,Confirmed,Hathor,Hathor,Hathor,Хатор,Hathor,ฮาธอร์,Hathor,,
71,照相馆,地点/场所 Location/Place,/,地点,,Photo Studio,,Confirmed,写真スタジオ,,Confirmed,사진관,,Confirmed,Fotostudio,Studio de photos,Estudio fotográfico,Студия фотографии,Estúdio Fotográfico,สตูดิโอถ่ายภาพ,Studio Foto,,
72,新西里安,地点/场所 Location/Place,/,地点,,New Helios,,Confirmed,ニューヘリオス,にゅーへりおす,Confirmed,뉴 실리안,,Confirmed,New Helios,New Helios,Nueva Helios,Новый Гелиос,Nova Helios,นิวเฮลิออส,New Helios,,
73,格赫罗斯岛,地点/场所 Location/Place,/,地点,,Ghroth Island,,Confirmed,グーへロス島,ぐーへろすとう,Confirmed,게흐로스 섬,,Confirmed,Insel Ghroth,Île de Ghroth,Isla Ghroth,Остров Грот,Ilha Ghroth,เกาะกร็อธ,Pulau Ghroth,,
74,空织,异象名称 Anomaly Name,/,主线中的关键异象,,Weaver,,Confirmed,ウェヴァー,うえゔぁー,Confirmed,위버,,Confirmed,Weber,Tisserande,Tejedor,Ткач,Caça-Sonho,วีฟเวอร์,Penenun,,
75,异象化,世界观 Worldbuilding,/,使普通物品/人变成异象的动作,,Anomalize,,Confirmed,異象化,アノマライズ,Confirmed,이상화,,Confirmed,Anomalisieren,Anomaliser,Anomalizar,Аномализировать,Anomalizar,อะนอมาไลซ์,Beranomali,,
76,收容,世界观 Worldbuilding,/,把异象关起来的动作,,Contain,,Confirmed,収容,,Confirmed,수용,,Confirmed,Eindämmen,Confiner,Contener,Сдержать,Conter,เก็บกัก,Membekuk,,
77,空间,世界观 Worldbuilding,/,异象存在的地方,,Space,,Confirmed,空間,,Confirmed,공간,,Confirmed,Raum,Espace,Espacio,Пространство,Espaço,สเปซ,Ruang,,
78,大姐头,称呼 Title/Nickname,Female,娜娜莉对浔的称呼,,Boss,,Confirmed,姉御,,Confirmed,보스,,Confirmed,Boss,Cheffe,Jefe,Босс,Chefa,เจ๊,Bos,,
